,AverageTemperature,AverageTemperatureUncertainty,Country,Year,Month,Day
27232,8.137,0.227,Argentina,2002,7,1
27233,10.884,0.176,Argentina,2002,8,1
27234,12.867,0.178,Argentina,2002,9,1
27235,16.66,0.208,Argentina,2002,10,1
27236,18.722,0.157,Argentina,2002,11,1
27237,20.518,0.157,Argentina,2002,12,1
27238,22.091,0.177,Argentina,2003,1,1
27239,21.034,0.205,Argentina,2003,2,1
27240,19.423,0.229,Argentina,2003,3,1
27241,14.431,0.254,Argentina,2003,4,1
27242,11.908,0.237,Argentina,2003,5,1
27243,10.317,0.381,Argentina,2003,6,1
27244,8.387,0.355,Argentina,2003,7,1
27245,9.516,0.316,Argentina,2003,8,1
27246,13.252,0.224,Argentina,2003,9,1
27247,16.96,0.272,Argentina,2003,10,1
27248,19.174,0.27,Argentina,2003,11,1
27249,19.727,0.129,Argentina,2003,12,1
27250,22.887,0.305,Argentina,2004,1,1
27251,20.75,0.171,Argentina,2004,2,1
27252,19.98,0.176,Argentina,2004,3,1
27253,15.555,0.218,Argentina,2004,4,1
27254,9.219,0.295,Argentina,2004,5,1
27255,9.473,0.298,Argentina,2004,6,1
27256,8.38,0.239,Argentina,2004,7,1
27257,10.22,0.126,Argentina,2004,8,1
27258,13.672,0.119,Argentina,2004,9,1
27259,15.943,0.289,Argentina,2004,10,1
27260,18.191,0.1669999999999999,Argentina,2004,11,1
27261,21.036,0.182,Argentina,2004,12,1
27262,21.952,0.139,Argentina,2005,1,1
27263,21.653,0.224,Argentina,2005,2,1
27264,18.616,0.207,Argentina,2005,3,1
27265,13.803,0.161,Argentina,2005,4,1
27266,11.169,0.268,Argentina,2005,5,1
27267,9.348,0.222,Argentina,2005,6,1
27268,8.453000000000001,0.298,Argentina,2005,7,1
27269,10.056,0.17,Argentina,2005,8,1
27270,11.599,0.155,Argentina,2005,9,1
27271,15.074000000000002,0.17,Argentina,2005,10,1
27272,19.328,0.133,Argentina,2005,11,1
27273,20.303,0.196,Argentina,2005,12,1
27274,22.167,0.177,Argentina,2006,1,1
27275,21.212,0.239,Argentina,2006,2,1
27276,18.477,0.22,Argentina,2006,3,1
27277,15.287,0.286,Argentina,2006,4,1
27278,10.353,0.36,Argentina,2006,5,1
27279,9.595,0.257,Argentina,2006,6,1
27280,9.972,0.215,Argentina,2006,7,1
27281,9.866,0.364,Argentina,2006,8,1
27282,12.93,0.271,Argentina,2006,9,1
27283,16.842,0.145,Argentina,2006,10,1
27284,18.695,0.202,Argentina,2006,11,1
27285,21.337,0.1669999999999999,Argentina,2006,12,1
27286,21.719,0.192,Argentina,2007,1,1
27287,20.852,0.301,Argentina,2007,2,1
27288,18.622,0.219,Argentina,2007,3,1
27289,15.417,0.188,Argentina,2007,4,1
27290,9.084,0.221,Argentina,2007,5,1
27291,7.526999999999999,0.162,Argentina,2007,6,1
27292,6.105,0.189,Argentina,2007,7,1
27293,7.283000000000001,0.131,Argentina,2007,8,1
27294,13.435,0.183,Argentina,2007,9,1
27295,16.464000000000002,0.1689999999999999,Argentina,2007,10,1
27296,17.996,0.185,Argentina,2007,11,1
27297,21.033,0.128,Argentina,2007,12,1
27298,22.073,0.207,Argentina,2008,1,1
27299,21.458,0.205,Argentina,2008,2,1
27300,18.952,0.135,Argentina,2008,3,1
27301,14.475,0.098,Argentina,2008,4,1
27302,10.864,0.129,Argentina,2008,5,1
27303,7.417000000000001,0.241,Argentina,2008,6,1
27304,9.97,0.275,Argentina,2008,7,1
27305,9.864,0.242,Argentina,2008,8,1
27306,12.367,0.275,Argentina,2008,9,1
27307,16.132,0.203,Argentina,2008,10,1
27308,20.47,0.28,Argentina,2008,11,1
27309,21.67,0.1669999999999999,Argentina,2008,12,1
27310,22.017,0.246,Argentina,2009,1,1
27311,21.442,0.192,Argentina,2009,2,1
27312,20.152,0.145,Argentina,2009,3,1
27313,16.658,0.305,Argentina,2009,4,1
27314,12.232,0.178,Argentina,2009,5,1
27315,8.104,0.173,Argentina,2009,6,1
27316,7.2010000000000005,0.219,Argentina,2009,7,1
27317,11.623,0.109,Argentina,2009,8,1
27318,11.630999999999998,0.238,Argentina,2009,9,1
27319,16.122,0.202,Argentina,2009,10,1
27320,18.957,0.306,Argentina,2009,11,1
27321,20.274,0.276,Argentina,2009,12,1
27322,22.422,0.2,Argentina,2010,1,1
27323,20.858,0.233,Argentina,2010,2,1
27324,19.867,0.21,Argentina,2010,3,1
27325,14.293,0.222,Argentina,2010,4,1
27326,10.894,0.196,Argentina,2010,5,1
27327,8.766,0.188,Argentina,2010,6,1
27328,6.9590000000000005,0.26,Argentina,2010,7,1
27329,8.996,0.244,Argentina,2010,8,1
27330,12.671,0.123,Argentina,2010,9,1
27331,15.529000000000002,0.176,Argentina,2010,10,1
27332,18.497,0.262,Argentina,2010,11,1
27333,21.194000000000003,0.313,Argentina,2010,12,1
27334,22.126,0.207,Argentina,2011,1,1
27335,20.716,0.166,Argentina,2011,2,1
27336,18.528,0.226,Argentina,2011,3,1
27337,15.273,0.172,Argentina,2011,4,1
27338,11.535,0.239,Argentina,2011,5,1
27339,8.301,0.286,Argentina,2011,6,1
27340,7.657000000000001,0.288,Argentina,2011,7,1
27341,9.166,0.131,Argentina,2011,8,1
27342,13.864,0.131,Argentina,2011,9,1
27343,15.496,0.221,Argentina,2011,10,1
27344,19.866,0.329,Argentina,2011,11,1
27345,21.548,0.242,Argentina,2011,12,1
27346,23.29,0.333,Argentina,2012,1,1
27347,21.487,0.197,Argentina,2012,2,1
27348,19.34,0.159,Argentina,2012,3,1
27349,14.663,0.359,Argentina,2012,4,1
27350,12.433,0.241,Argentina,2012,5,1
27351,8.353,0.342,Argentina,2012,6,1
27352,6.98,0.236,Argentina,2012,7,1
27353,10.842,0.266,Argentina,2012,8,1
27354,13.931,0.241,Argentina,2012,9,1
27355,16.311,0.298,Argentina,2012,10,1
27356,19.677,0.234,Argentina,2012,11,1
27357,20.961,0.283,Argentina,2012,12,1
27358,22.477,0.222,Argentina,2013,1,1
27359,21.145,0.274,Argentina,2013,2,1
27360,17.366,0.304,Argentina,2013,3,1
27361,15.838,0.253,Argentina,2013,4,1
27362,11.745,0.166,Argentina,2013,5,1
27363,9.594,0.388,Argentina,2013,6,1
27364,8.344000000000001,0.303,Argentina,2013,7,1
27365,9.148,0.302,Argentina,2013,8,1
27366,,,Argentina,2013,9,1
36466,28.75,0.202,Australia,1990,1,1
36467,27.017,0.135,Australia,1990,2,1
36468,26.935,0.185,Australia,1990,3,1
36469,22.275,0.093,Australia,1990,4,1
36470,19.25,0.146,Australia,1990,5,1
36471,14.792000000000002,0.26,Australia,1990,6,1
36472,15.081,0.151,Australia,1990,7,1
36473,15.88,0.198,Australia,1990,8,1
36474,19.357000000000006,0.215,Australia,1990,9,1
36475,23.262,0.163,Australia,1990,10,1
36476,27.22,0.283,Australia,1990,11,1
36477,28.45,0.198,Australia,1990,12,1
36478,28.509,0.115,Australia,1991,1,1
36479,28.308000000000003,0.134,Australia,1991,2,1
36480,26.148000000000003,0.213,Australia,1991,3,1
36481,22.544,0.158,Australia,1991,4,1
36482,18.737,0.158,Australia,1991,5,1
36483,17.034000000000002,0.116,Australia,1991,6,1
36484,15.001,0.184,Australia,1991,7,1
36485,16.447,0.097,Australia,1991,8,1
36486,20.014000000000006,0.156,Australia,1991,9,1
36487,24.28,0.145,Australia,1991,10,1
36488,25.756,0.153,Australia,1991,11,1
36489,27.071,0.1639999999999999,Australia,1991,12,1
36490,27.691,0.283,Australia,1992,1,1
36491,27.915,0.135,Australia,1992,2,1
36492,26.888,0.186,Australia,1992,3,1
36493,22.966,0.251,Australia,1992,4,1
36494,18.675,0.155,Australia,1992,5,1
36495,15.507,0.231,Australia,1992,6,1
36496,15.038,0.138,Australia,1992,7,1
36497,16.304000000000002,0.2,Australia,1992,8,1
36498,19.206,0.307,Australia,1992,9,1
36499,22.022,0.119,Australia,1992,10,1
36500,24.324,0.277,Australia,1992,11,1
36501,26.655,0.453,Australia,1992,12,1
36502,28.594,0.158,Australia,1993,1,1
36503,27.174,0.156,Australia,1993,2,1
36504,26.009,0.195,Australia,1993,3,1
36505,23.458,0.151,Australia,1993,4,1
36506,19.016,0.247,Australia,1993,5,1
36507,15.132,0.154,Australia,1993,6,1
36508,15.435,0.171,Australia,1993,7,1
36509,16.814,0.1669999999999999,Australia,1993,8,1
36510,19.453000000000007,0.175,Australia,1993,9,1
36511,22.123,0.175,Australia,1993,10,1
36512,26.183000000000003,0.178,Australia,1993,11,1
36513,26.531,0.182,Australia,1993,12,1
36514,28.913,0.207,Australia,1994,1,1
36515,27.398000000000003,0.149,Australia,1994,2,1
36516,25.015,0.136,Australia,1994,3,1
36517,21.99,0.218,Australia,1994,4,1
36518,18.628,0.257,Australia,1994,5,1
36519,15.227,0.28,Australia,1994,6,1
36520,14.719,0.262,Australia,1994,7,1
36521,15.744000000000002,0.172,Australia,1994,8,1
36522,19.546000000000006,0.196,Australia,1994,9,1
36523,23.29,0.204,Australia,1994,10,1
36524,25.798,0.232,Australia,1994,11,1
36525,28.095,0.244,Australia,1994,12,1
36526,28.232,0.139,Australia,1995,1,1
36527,27.085,0.129,Australia,1995,2,1
36528,25.067,0.105,Australia,1995,3,1
36529,21.396,0.178,Australia,1995,4,1
36530,17.930999999999994,0.192,Australia,1995,5,1
36531,15.546,0.177,Australia,1995,6,1
36532,14.882,0.149,Australia,1995,7,1
36533,17.197,0.148,Australia,1995,8,1
36534,20.642000000000003,0.1689999999999999,Australia,1995,9,1
36535,22.677,0.1,Australia,1995,10,1
36536,25.978,0.189,Australia,1995,11,1
36537,26.829,0.17,Australia,1995,12,1
36538,28.058000000000003,0.221,Australia,1996,1,1
36539,27.806,0.097,Australia,1996,2,1
36540,25.849,0.103,Australia,1996,3,1
36541,21.893,0.186,Australia,1996,4,1
36542,18.594,0.18,Australia,1996,5,1
36543,17.401,0.194,Australia,1996,6,1
36544,15.337,0.182,Australia,1996,7,1
36545,16.820999999999998,0.117,Australia,1996,8,1
36546,19.967,0.198,Australia,1996,9,1
36547,23.328000000000003,0.194,Australia,1996,10,1
36548,25.561,0.094,Australia,1996,11,1
36549,27.289,0.1639999999999999,Australia,1996,12,1
36550,27.571,0.155,Australia,1997,1,1
36551,28.325,0.1689999999999999,Australia,1997,2,1
36552,25.075,0.232,Australia,1997,3,1
36553,22.275,0.181,Australia,1997,4,1
36554,18.287,0.122,Australia,1997,5,1
36555,15.174,0.2,Australia,1997,6,1
36556,13.847,0.268,Australia,1997,7,1
36557,16.061,0.192,Australia,1997,8,1
36558,20.646,0.196,Australia,1997,9,1
36559,23.293000000000003,0.233,Australia,1997,10,1
36560,26.371,0.136,Australia,1997,11,1
36561,28.107,0.181,Australia,1997,12,1
36562,28.853,0.183,Australia,1998,1,1
36563,28.769,0.189,Australia,1998,2,1
36564,26.865,0.198,Australia,1998,3,1
36565,22.6,0.172,Australia,1998,4,1
36566,19.657,0.117,Australia,1998,5,1
36567,15.837000000000002,0.162,Australia,1998,6,1
36568,14.844,0.187,Australia,1998,7,1
36569,17.667,0.127,Australia,1998,8,1
36570,20.606,0.185,Australia,1998,9,1
36571,23.435,0.178,Australia,1998,10,1
36572,25.61,0.145,Australia,1998,11,1
36573,27.235,0.206,Australia,1998,12,1
36574,29.14,0.104,Australia,1999,1,1
36575,27.339,0.146,Australia,1999,2,1
36576,26.212,0.13,Australia,1999,3,1
36577,21.135,0.207,Australia,1999,4,1
36578,19.28,0.166,Australia,1999,5,1
36579,15.636,0.156,Australia,1999,6,1
36580,15.079,0.205,Australia,1999,7,1
36581,16.97,0.175,Australia,1999,8,1
36582,20.659,0.202,Australia,1999,9,1
36583,23.301,0.219,Australia,1999,10,1
36584,23.892,0.229,Australia,1999,11,1
36585,26.131,0.185,Australia,1999,12,1
36586,27.071,0.173,Australia,2000,1,1
36587,27.367,0.189,Australia,2000,2,1
36588,25.474,0.178,Australia,2000,3,1
36589,21.897,0.085,Australia,2000,4,1
36590,16.962,0.156,Australia,2000,5,1
36591,14.402,0.216,Australia,2000,6,1
36592,15.116,0.175,Australia,2000,7,1
36593,16.118,0.218,Australia,2000,8,1
36594,20.99,0.174,Australia,2000,9,1
36595,22.323,0.214,Australia,2000,10,1
36596,25.737,0.163,Australia,2000,11,1
36597,27.059,0.171,Australia,2000,12,1
36598,29.133000000000003,0.165,Australia,2001,1,1
36599,27.699,0.223,Australia,2001,2,1
36600,24.822,0.148,Australia,2001,3,1
36601,22.141,0.124,Australia,2001,4,1
36602,17.759,0.163,Australia,2001,5,1
36603,15.939,0.145,Australia,2001,6,1
36604,14.880999999999998,0.165,Australia,2001,7,1
36605,16.137999999999998,0.127,Australia,2001,8,1
36606,20.222,0.228,Australia,2001,9,1
36607,21.495,0.109,Australia,2001,10,1
36608,24.885,0.155,Australia,2001,11,1
36609,26.399,0.185,Australia,2001,12,1
36610,27.824,0.244,Australia,2002,1,1
36611,26.583,0.191,Australia,2002,2,1
36612,25.962,0.09,Australia,2002,3,1
36613,23.845,0.139,Australia,2002,4,1
36614,19.547,0.148,Australia,2002,5,1
36615,15.482,0.127,Australia,2002,6,1
36616,14.806,0.208,Australia,2002,7,1
36617,16.325,0.2,Australia,2002,8,1
36618,20.414,0.168,Australia,2002,9,1
36619,23.612,0.208,Australia,2002,10,1
36620,27.035,0.132,Australia,2002,11,1
36621,28.095,0.186,Australia,2002,12,1
36622,28.692,0.17,Australia,2003,1,1
36623,28.35,0.18,Australia,2003,2,1
36624,25.23,0.1669999999999999,Australia,2003,3,1
36625,22.919,0.219,Australia,2003,4,1
36626,19.156,0.215,Australia,2003,5,1
36627,15.922,0.309,Australia,2003,6,1
36628,15.274,0.237,Australia,2003,7,1
36629,16.65,0.262,Australia,2003,8,1
36630,20.542,0.251,Australia,2003,9,1
36631,22.204,0.324,Australia,2003,10,1
36632,26.196,0.161,Australia,2003,11,1
36633,28.149,0.207,Australia,2003,12,1
36634,28.474,0.124,Australia,2004,1,1
36635,28.199,0.086,Australia,2004,2,1
36636,25.973000000000003,0.146,Australia,2004,3,1
36637,22.992,0.1369999999999999,Australia,2004,4,1
36638,18.2,0.145,Australia,2004,5,1
36639,15.841,0.258,Australia,2004,6,1
36640,14.754,0.182,Australia,2004,7,1
36641,15.956,0.231,Australia,2004,8,1
36642,19.112,0.123,Australia,2004,9,1
36643,24.43,0.278,Australia,2004,10,1
36644,25.835,0.139,Australia,2004,11,1
36645,27.677,0.119,Australia,2004,12,1
36646,28.553,0.152,Australia,2005,1,1
36647,28.187,0.139,Australia,2005,2,1
36648,26.784,0.121,Australia,2005,3,1
36649,24.714,0.146,Australia,2005,4,1
36650,19.56,0.222,Australia,2005,5,1
36651,16.160999999999998,0.149,Australia,2005,6,1
36652,15.482,0.154,Australia,2005,7,1
36653,16.434,0.17,Australia,2005,8,1
36654,20.545,0.112,Australia,2005,9,1
36655,23.88000000000001,0.139,Australia,2005,10,1
36656,26.328000000000003,0.176,Australia,2005,11,1
36657,28.134,0.188,Australia,2005,12,1
36658,29.059,0.205,Australia,2006,1,1
36659,27.929,0.271,Australia,2006,2,1
36660,26.302,0.208,Australia,2006,3,1
36661,21.48,0.27,Australia,2006,4,1
36662,17.221999999999998,0.257,Australia,2006,5,1
36663,14.223,0.254,Australia,2006,6,1
36664,14.403,0.22,Australia,2006,7,1
36665,17.185,0.235,Australia,2006,8,1
36666,20.629,0.129,Australia,2006,9,1
36667,24.181,0.177,Australia,2006,10,1
36668,27.179,0.094,Australia,2006,11,1
36669,27.381,0.179,Australia,2006,12,1
36670,28.041,0.146,Australia,2007,1,1
36671,29.298,0.146,Australia,2007,2,1
36672,26.174,0.165,Australia,2007,3,1
36673,22.999,0.148,Australia,2007,4,1
36674,19.992,0.134,Australia,2007,5,1
36675,13.724,0.204,Australia,2007,6,1
36676,14.71,0.17,Australia,2007,7,1
36677,16.985,0.104,Australia,2007,8,1
36678,20.545,0.241,Australia,2007,9,1
36679,23.971,0.112,Australia,2007,10,1
36680,26.192,0.162,Australia,2007,11,1
36681,27.21,0.162,Australia,2007,12,1
36682,29.258000000000003,0.207,Australia,2008,1,1
36683,26.91,0.155,Australia,2008,2,1
36684,26.265,0.148,Australia,2008,3,1
36685,21.723000000000003,0.165,Australia,2008,4,1
36686,18.623,0.141,Australia,2008,5,1
36687,16.256,0.172,Australia,2008,6,1
36688,14.784,0.1369999999999999,Australia,2008,7,1
36689,15.218,0.186,Australia,2008,8,1
36690,20.702,0.2,Australia,2008,9,1
36691,24.336,0.1369999999999999,Australia,2008,10,1
36692,25.423,0.153,Australia,2008,11,1
36693,27.213,0.194,Australia,2008,12,1
36694,28.47,0.188,Australia,2009,1,1
36695,28.005,0.1369999999999999,Australia,2009,2,1
36696,26.233,0.163,Australia,2009,3,1
36697,22.683000000000003,0.208,Australia,2009,4,1
36698,18.142,0.178,Australia,2009,5,1
36699,15.880999999999998,0.162,Australia,2009,6,1
36700,15.193,0.246,Australia,2009,7,1
36701,18.575,0.194,Australia,2009,8,1
36702,20.552,0.178,Australia,2009,9,1
36703,23.128,0.135,Australia,2009,10,1
36704,27.404,0.236,Australia,2009,11,1
36705,28.021,0.187,Australia,2009,12,1
36706,28.676,0.18,Australia,2010,1,1
36707,28.311,0.133,Australia,2010,2,1
36708,25.995,0.189,Australia,2010,3,1
36709,23.512,0.132,Australia,2010,4,1
36710,18.629,0.1689999999999999,Australia,2010,5,1
36711,15.488,0.22,Australia,2010,6,1
36712,15.321000000000002,0.238,Australia,2010,7,1
36713,16.018,0.244,Australia,2010,8,1
36714,19.321,0.171,Australia,2010,9,1
36715,22.202,0.161,Australia,2010,10,1
36716,24.828000000000003,0.165,Australia,2010,11,1
36717,26.637,0.175,Australia,2010,12,1
36718,28.895,0.191,Australia,2011,1,1
36719,27.293000000000003,0.178,Australia,2011,2,1
36720,24.789,0.203,Australia,2011,3,1
36721,21.549,0.183,Australia,2011,4,1
36722,16.842,0.171,Australia,2011,5,1
36723,14.569,0.207,Australia,2011,6,1
36724,15.029000000000002,0.214,Australia,2011,7,1
36725,17.152,0.105,Australia,2011,8,1
36726,19.491,0.125,Australia,2011,9,1
36727,23.166,0.172,Australia,2011,10,1
36728,25.728,0.207,Australia,2011,11,1
36729,26.701,0.287,Australia,2011,12,1
36730,27.904,0.356,Australia,2012,1,1
36731,27.2,0.186,Australia,2012,2,1
36732,24.699,0.156,Australia,2012,3,1
36733,22.208,0.238,Australia,2012,4,1
36734,17.761999999999997,0.248,Australia,2012,5,1
36735,14.674,0.239,Australia,2012,6,1
36736,14.027,0.266,Australia,2012,7,1
36737,16.408,0.315,Australia,2012,8,1
36738,20.474,0.241,Australia,2012,9,1
36739,23.586,0.207,Australia,2012,10,1
36740,26.935,0.188,Australia,2012,11,1
36741,28.417,0.204,Australia,2012,12,1
36742,29.861,0.176,Australia,2013,1,1
36743,28.311,0.183,Australia,2013,2,1
36744,26.59,0.157,Australia,2013,3,1
36745,23.305,0.226,Australia,2013,4,1
36746,19.377,0.229,Australia,2013,5,1
36747,16.018,0.251,Australia,2013,6,1
36748,15.933,0.187,Australia,2013,7,1
36749,17.748,0.38,Australia,2013,8,1
36750,,,Australia,2013,9,1
39705,-2.4430000000000005,0.388,Austria,1990,1,1
39706,2.713,0.35,Austria,1990,2,1
39707,5.391,0.266,Austria,1990,3,1
39708,5.462000000000001,0.081,Austria,1990,4,1
39709,12.561,0.142,Austria,1990,5,1
39710,14.199000000000002,0.331,Austria,1990,6,1
39711,15.992,0.21,Austria,1990,7,1
39712,16.846,0.229,Austria,1990,8,1
39713,10.564,0.447,Austria,1990,9,1
39714,8.224,0.275,Austria,1990,10,1
39715,2.021,0.318,Austria,1990,11,1
39716,-3.402,0.261,Austria,1990,12,1
39717,-2.5440000000000005,0.284,Austria,1991,1,1
39718,-4.62,0.345,Austria,1991,2,1
39719,4.694,0.177,Austria,1991,3,1
39720,5.313,0.108,Austria,1991,4,1
39721,7.9209999999999985,0.256,Austria,1991,5,1
39722,13.791,0.221,Austria,1991,6,1
39723,17.546,0.218,Austria,1991,7,1
39724,16.674,0.114,Austria,1991,8,1
39725,13.871,0.132,Austria,1991,9,1
39726,6.061,0.21,Austria,1991,10,1
39727,1.429,0.132,Austria,1991,11,1
39728,-3.841,0.228,Austria,1991,12,1
39729,-2.022,0.236,Austria,1992,1,1
39730,-0.0830000000000001,0.19,Austria,1992,2,1
39731,2.713,0.304,Austria,1992,3,1
39732,6.313,0.332,Austria,1992,4,1
39733,12.666,0.199,Austria,1992,5,1
39734,15.3,0.294,Austria,1992,6,1
39735,17.623,0.275,Austria,1992,7,1
39736,20.081,0.18,Austria,1992,8,1
